MGM_BLD_PK|FLR_MAIN_PURPS_CD|FLR_MAIN_PURPS_CD_NM|FLR_TOTAREA|FLR_RAT|MAIN_PURPS_CD|H_PSU|H_ETC
36110-1000025960|01001|단독주택|95.25|100|01000|-0|-0
36110-1000025961|21101|축사|147|85.3658536585366|21000|0.600608575413187|0.600608575413187
36110-1000025962|01001|단독주택|69.16|61.3011877326715|01000|0.962828346720994|0.962828346720994
36110-1000025963|01001|단독주택|19.6|79.6747967479675|01000|0.728384672268845|0.728384672268845
36110-1000025964|01001|단독주택|65.22|100|01000|-0|0.805764293521634
36110-1000025965|01001|단독주택|51.9|71.9334719334719|01000|0.85635571918757|0.85635571918757
36110-1000025966|01001|단독주택|88.01|100|01000|-0|-0
36110-1000025967|18001|창고|68.4|52.8593508500773|01000|0.997639650078593|0.997639650078593
36110-1000025968|18001|창고|33.75|100|18000|-0|-0
36110-1000025969|01001|단독주택|99.2|100|01000|-0|-0
36110-1000025970|01001|단독주택|60.42|56.2255723059743|01000|0.988787800897656|0.988787800897656
36110-1000025971|01001|단독주택|89.52|82.7050997782705|01000|0.66440658993729|0.66440658993729
36110-1000025972|01001|단독주택|111.12|82.9749103942652|01000|0.658278401003149|0.658278401003149
36110-1000025973|01001|단독주택|54.39|74.8761013215859|01000|0.813235972765069|0.813235972765069
36110-1000025974|21999|기타동식물관련시설|172.48|100|21000|-0|-0
36110-1000025975|21101|축사|136|100|21000|-0|-0
36110-1000025976|21101|축사|119|100|21000|-0|-0
36110-1000025977|18999|기타창고시설|56.5|100|21000|-0|-0
36110-1000025978|21101|축사|264|100|21000|-0|-0
36110-1000025979|21101|축사|340|100|21000|-0|-0
36110-1000025980|01001|단독주택|73.01|100|01000|-0|-0
36110-1000025981|01001|단독주택|172.92|50|01000|1|1
36110-1000025982|01001|단독주택|89.03|53.4650492433341|01000|0.996532858932549|0.996532858932549
36110-1000025983|01001|단독주택|91|100|01000|-0|-0
36110-1000025984|01001|단독주택|45.6|74.4611365120836|01000|0.81970772486976|0.81970772486976
36110-1000025986|01001|단독주택|76.5|78.0214176440592|01000|0.759776230204988|0.759776230204988
36110-1000025987|01001|단독주택|94.5|100|01000|-0|-0
36110-1000025988|01001|단독주택|80.19|100|01000|-0|-0
36110-1000025989|01001|단독주택|36.9|72.852912142152|01000|0.843567345488326|0.843567345488326
36110-1000025990|01001|단독주택|82|100|01000|-0|-0
36110-1000025991|01001|단독주택|41|100|01000|-0|-0
36110-1000025992|06108|사당|15.91|100|06000|-0|-0
36110-1000025993|01001|단독주택|87.96|76.7807262569832|01000|0.781814196852084|0.781814196852084
36110-1000025994|01001|단독주택|97.2|100|01000|-0|-0
36110-1000025995|18001|창고|31.08|100|18000|-0|-0
36110-1000025996|01001|단독주택|77.12|85.3286125248949|01000|0.601555308951956|0.601555308951956
36110-1000025997|01001|단독주택|55|70.0458481915436|01000|0.880729732147559|0.880729732147559
36110-1000025998|01001|단독주택|49.49|68.2338342754722|01000|0.90182044737234|0.90182044737234
36110-1000025999|01001|단독주택|109.19|79.1633437250779|01000|0.93796663859373|1.46971300343134
36110-1000026000|01001|단독주택|45.76|79.0191676739769|01000|0.741116197088601|0.741116197088601
36110-1000026001|01001|단독주택|52.32|77.5111111111111|01000|0.768994525568275|0.768994525568275
36110-1000026002|01001|단독주택|97.11|100|01000|-0|-0
36110-1000026003|01001|단독주택|32.5|100|01000|-0|-0
36110-1000026004|01001|단독주택|137.24|100|01000|-0|-0
36110-1000026005|03021|마을회관|190.58|100|03000|-0|-0
36110-1000026006|01001|단독주택|96.11|51.0924459093084|01000|0.999655619161605|0.999655619161605
36110-1000026007|01001|단독주택|113.28|100|01000|-0|-0
36110-1000026008|01001|단독주택|113.28|100|01000|-0|-0
36110-1000026009|01001|단독주택|81.6|100|01000|-0|-0
36110-1000026010|01001|단독주택|330.6|100|01000|-0|-0
36110-1000026011|01001|단독주택|66.5|65.5947918721641|01000|0.928643587975278|0.928643587975278
36110-1000026012|01001|단독주택|67.8|70.9427644658366|01000|0.869459448349912|0.869459448349912
36110-1000026013|01001|단독주택|41.44|70.3087885985748|01000|0.877483473401479|0.877483473401479
36110-1000026014|01001|단독주택|79.28|100|01000|-0|-0
36110-1000026015|18001|창고|67.46|70.4101868280973|01000|0.876218859855181|0.876218859855181
36110-1000026016|01001|단독주택|49.22|75.099176075679|01000|0.809702433454181|0.809702433454181
36110-1000026018|01001|단독주택|51|85.8585858585859|01000|0.58793037280172|0.58793037280172
36110-1000026019|01001|단독주택|98.7|100|01000|-0|-0
36110-1000026020|01001|단독주택|63.62|73.9595442920251|01000|0.827356241233988|0.827356241233988
36110-1000026021|01001|단독주택|43.5|65.9490600363857|01000|0.925305331479649|0.925305331479649
36110-1000026022|01001|단독주택|60.5|60.4093859211183|01000|0.968505409212996|0.968505409212996
36110-1000026023|18001|창고|63.35|52.7696793002915|01000|0.997785448302931|0.997785448302931
36110-1000026024|01001|단독주택|73.12|80.5996472663139|01000|0.709771801927678|0.709771801927678
36110-1000026025|01001|단독주택|57.45|67.867690490254|01000|0.905814475497196|0.905814475497196
36110-1000026026|01001|단독주택|35.26|42.6463473633285|01000|1.53045679778153|1.53045679778153
36110-1000026027|01001|단독주택|55.76|53.125|01000|0.997180398894264|0.997180398894264
36110-1000026028|01001|단독주택|63.18|55.5966209081309|01000|0.990943366236782|0.990943366236782
36110-1000026029|01001|단독주택|96.3|64.033512866547|01000|0.942404655651776|0.942404655651776
36110-1000026030|01001|단독주택|73.57|71.8878248974008|01000|0.856974776179919|0.856974776179919
36110-1000026031|01001|단독주택|60|100|01000|-0|0.71521112401665
36110-1000026032|01001|단독주택|75.17|75.5705237760129|01000|0.802109668008492|0.802109668008492
36110-1000026033|18001|창고|65.2|60.8208955223881|01000|0.965945651298785|0.965945651298785
36110-1000026034|01001|단독주택|98|100|01000|-0|-0
36110-1000026035|03021|마을회관|56.7|100|03000|-0|-0
36110-1000026036|11201|노인복지시설|56.7|100|03000|-0|-0
36110-1000026037|01001|단독주택|84.84|61.5898366606171|01000|0.960887439909696|0.960887439909696
36110-1000026038|01001|단독주택|62.76|78.4107946026987|01000|0.752595256334745|0.752595256334745
36110-1000026039|01001|단독주택|47.52|100|01000|-0|-0
36110-1000026040|01001|단독주택|75.4|69.3205847200515|01000|0.88943813318682|0.88943813318682
36110-1000026041|01001|단독주택|63.75|100|01000|-0|-0
36110-1000026042|01001|단독주택|75.48|80.5291795583058|01000|0.711217406658233|0.711217406658233
36110-1000026043|01001|단독주택|71.5|68.8493018777082|01000|1.20612831733109|0.894905357430504
36110-1000026045|01001|단독주택|58.65|77.7851458885942|01000|0.764071315935733|0.764071315935733
36110-1000026046|18001|창고|86.62|56.0647249190938|01000|0.989361101574577|0.989361101574577
36110-1000026048|01001|단독주택|113.85|100|01000|-0|-0
36110-1000026049|01001|단독주택|65.18|100|01000|-0|-0
36110-1000026050|01001|단독주택|159.99|100|01000|-0|-0
36110-1000026051|01001|단독주택|90.62|100|01000|-0|-0
36110-1000026052|01001|단독주택|167.51|100|01000|-0|-0
36110-1000026053|04999|기타제2종근린생활시설|41.85|52.6746381371932|04000|0.997934896090985|-0
36110-1000026054|01001|단독주택|78|100|01000|-0|-0
36110-1000026055|01001|단독주택|48|100|01000|-0|-0
36110-1000026056|01001|단독주택|102.85|100|01000|-0|-0
36110-1000026057|01002|다중주택|235.32|71.4389799635701|01000|0.862982936922387|0.862982936922387
36110-1000026058|01001|단독주택|64.35|51.500600240096|01000|0.999350169976556|0.999350169976556
36110-1000026267|01001|단독주택|44.5|100|01000|-0|-0
36110-1000026269|01001|단독주택|199.86|100|01000|-0|-0
36110-1000026270|01001|단독주택|216.78|100|01000|-0|-0
36110-1000026271|01001|단독주택|35.2|100|01000|-0|-0
36110-1000026272|01001|단독주택|198.87|100|01000|-0|-0
36110-1000026273|01001|단독주택|184.93|100|01000|-0|-0
36110-1000026274|01001|단독주택|93.53|100|01000|-0|0.717501160151207
36110-1000026275|01001|단독주택|48.76|100|01000|-0|-0
36110-1000026276|01001|단독주택|63.92|100|01000|-0|0.847276175704799
36110-1000026278|04299|기타종교집회장|149.92|100|04000|-0|1.33593628864257
36110-1000026279|01001|단독주택|90.81|100|01000|-0|-0
36110-1000026280|01001|단독주택|98.56|80.8133814365366|01000|0.705359092688451|0.705359092688451
36110-1000026281|01001|단독주택|54.51|100|01000|-0|-0
36110-1000026282|03021|마을회관|98.52|100|03000|-0|-0
36110-1000026283|01001|단독주택|98.98|100|01000|-0|-0
36110-1000026284|01001|단독주택|147.9|100|01000|-0|0.913490018689274
36110-1000026285|01001|단독주택|67.72|100|01000|-0|0.82814253139415
36110-1000026286|01001|단독주택|52.4|100|01000|-0|0.925001855783943
36110-1000026287|01001|단독주택|113.3|100|01000|-0|0.998960735863923
36110-1000026288|01001|단독주택|85.8|100|01000|-0|0.658077906911483
36110-1000026289|01001|단독주택|84|100|01000|-0|0.963559331279236
36110-1000026290|01001|단독주택|33.96|100|01000|-0|-0
36110-1000026291|01001|단독주택|92.55|100|01000|-0|0.963429933247346
36110-1000026293|01001|단독주택|121|100|01000|-0|0.986049290062486
36110-1000026294|01001|단독주택|150.3|100|01000|-0|0.99903384027812
36110-1000026296|01001|단독주택|64.9|100|01000|-0|0.803244190338935
36110-1000026302|17100|일반공장|127.8|100|17000|-0|-0
36110-1000026304|17100|일반공장|1191.6|100|17000|-0|0.438583960967563
36110-1000026307|01001|단독주택|87.48|100|01000|-0|-0
36110-1000026308|01001|단독주택|64.24|100|01000|-0|-0
36110-1000026309|01001|단독주택|51.5|100|01000|-0|-0
36110-1000026311|01001|단독주택|61.88|100|01000|-0|-0
36110-1000026312|01001|단독주택|44.88|100|01000|-0|-0
36110-1000026313|01001|단독주택|25.2|100|01000|-0|-0
36110-1000026314|01001|단독주택|98.82|100|01000|-0|-0
36110-1000026315|01001|단독주택|33.54|100|01000|-0|-0
36110-1000026316|01001|단독주택|46.67|100|01000|-0|0.787811776944143
36110-1000026317|01001|단독주택|99.98|100|01000|-0|-0
36110-1000026321|06104|기도원|343.21|100|06000|-0|0.976932779000319
36110-1000026322|01001|단독주택|115.5|100|01000|-0|-0
36110-1000026323|01001|단독주택|99.02|100|01000|-0|-0
36110-1000026324|01001|단독주택|141.67|99.9999929413431|01000|1.77869162587555e-06|1.77869162587555e-06
36110-1000026325|21101|축사|62.6|100|21000|-0|-0
36110-1000026326|21101|축사|149.85|100|21000|-0|-0
36110-1000026327|01001|단독주택|71.1|100|01000|-0|-0
36110-1000026328|01001|단독주택|48.4|100|01000|-0|0.188974944311048
36110-1000026329|01001|단독주택|91.65|100|01000|-0|-0
36110-1000026331|01001|단독주택|47.85|100|01000|-0|0.845350936622437
36110-1000026332|01001|단독주택|76.81|100|01000|-0|0.700547278899952
36110-1000026333|01001|단독주택|98.68|100|01000|-0|0.999900319032947
36110-1000026334|01001|단독주택|140.76|100|01000|-0|-0
36110-1000026335|01001|단독주택|131.04|100|01000|-0|-0
36110-1000026336|01001|단독주택|99.9|100|01000|-0|-0
36110-1000026338|01001|단독주택|120.93|100|01000|-0|0.645490607162406
36110-1000026339|01001|단독주택|82.68|100|01000|-0|0.738866831984144
36110-1000026340|01001|단독주택|96.64|100|01000|-0|0.326688648706189
36110-1000026341|01001|단독주택|196|100|01000|-0|-0
36110-1000026342|01001|단독주택|88.78|85.3982300884956|01000|0.599784209620637|0.599784209620637
36110-1000026343|01001|단독주택|88.78|85.3982300884956|01000|0.599784209620637|0.599784209620637
36110-1000026345|01001|단독주택|108|100|01000|-0|-0
36110-1000026346|01001|단독주택|80.24|100|01000|-0|-0
36110-1000026347|01001|단독주택|49.29|100|01000|-0|-0
36110-1000026348|01001|단독주택|42.39|100|01000|-0|-0
36110-1000026349|01001|단독주택|90.6|100|01000|-0|-0
36110-1000026350|01001|단독주택|84.59|100|01000|-0|-0
36110-1000026352|01001|단독주택|153.58|100|01000|-0|-0
36110-1000026353|01001|단독주택|116.28|100|01000|-0|0.621720048316662
36110-1000026354|01001|단독주택|82.75|100|01000|-0|-0
36110-1000026355|01001|단독주택|243.71|100|01000|-0|0.988679873578338
36110-1000026356|18001|창고|197.96|100|18000|-0|-0
36110-1000026357|18001|창고|195.02|100|18000|-0|-0
36110-1000026358|18001|창고|197.6|76.0526518358864|18000|0.794163600882178|0.794163600882178
36110-1000026359|18001|창고|197.6|100|18000|-0|-0
36110-1000026360|04402|사무소|24.6|100|04000|-0|-0
36110-1000026361|04402|사무소|84|100|04000|-0|-0
36110-1000026362|01001|단독주택|127.4|100|01000|-0|-0
36110-1000026363|18001|창고|198|100|18000|-0|-0
36110-1000026364|01001|단독주택|40.89|100|01000|-0|-0
36110-1000026365|17100|일반공장|180|84.7457627118644|17000|0.616166193400535|0.616166193400535
36110-1000026366|17100|일반공장|197.6|100|17000|-0|-0
36110-1000026367|03021|마을회관|10.5|100|03000|-0|-0
36110-1000026368|03021|마을회관|174.78|100|03000|-0|-0
36110-1000026370|18001|창고|170.28|68.1038275406951|18000|1.22201409633017|1.22201409633017
36110-1000026371|01001|단독주택|193.79|100|01000|-0|-0
36110-1000026372|17100|일반공장|184.24|100|17000|-0|-0
36110-1000026373|17100|일반공장|195.77|100|17000|-0|-0
36110-1000026374|17100|일반공장|191.84|100|17000|-0|-0
36110-1000026375|17100|일반공장|132.2|100|17000|-0|-0
36110-1000026376|18001|창고|130.56|100|18000|-0|-0
36110-1000026377|01001|단독주택|94.82|100|01000|-0|-0
36110-1000026378|18001|창고|196.88|57.2525299523089|18000|0.984769409102725|1.14878924298632
36110-1000026379|01001|단독주택|107.4|100|01000|-0|0.287582346222971
36110-1000026380|18001|창고|165|100|18000|-0|-0
36110-1000026381|01001|단독주택|64.8|100|01000|-0|-0
36110-1000026382|04001|일반음식점|120|100|04000|-0|-0
36110-1000026383|17100|일반공장|449.6|100|17000|-0|0.673572549547808
36110-1000026384|01001|단독주택|79.57|100|01000|-0|-0
36110-1000026385|18999|기타창고시설|195|100|18000|-0|-0
36110-1000026386|18999|기타창고시설|189|100|18000|-0|-0
36110-1000026387|10199|기타학교|3182.45|80.3821527348042|10000|0.714218881064709|1.89363730599666
36110-1000026388|01001|단독주택|234.81|100|01000|-0|-0
36110-1000026389|18001|창고|190|100|18000|-0|-0
36110-1000026390|18001|창고|105|100|18000|-0|-0
36110-1000026392|17301|물품 제조공장|399.84|100|17000|-0|0.745638342558684
36110-1000026395|01001|단독주택|112.5|64.2857142857143|01000|0.940285958670631|0.940285958670631
36110-1000026396|01001|단독주택|61.12|100|01000|-0|-0
36110-1000026397|04001|일반음식점|92.9|100|04000|-0|-0
36110-1000026398|21101|축사|37.4|100|21000|-0|-0
36110-1000026399|21101|축사|171.43|100|21000|-0|-0
36110-1000026400|21101|축사|653.34|100|21000|-0|-0
36110-1000026403|21101|축사|81.26|100|21000|-0|-0
36110-1000026404|03001|소매점|35.64|51.6446891754818|03000|0.999219360455144|0.999219360455144
36110-1000026405|03001|소매점|99.17|100|03000|-0|-0
36110-1000026406|03001|소매점|130.25|77.8820856254485|03000|0.762314747568951|0.762314747568951
36110-1000026407|03001|소매점|104|100|04000|-0|-0
36110-1000026408|03002|휴게음식점|83.54|55.4199283534563|03000|0.991507309047931|0.991507309047931
36110-1000026409|04005|제조업소|198|100|04000|-0|-0
36110-1000026410|01001|단독주택|97.93|100|01000|-0|-0
36110-1000026411|04499|기타사무소|21.78|60.8040201005025|04000|0.96605263671711|0.96605263671711
36110-1000026412|01001|단독주택|94.05|50|01000|1|1
36110-1000026413|01001|단독주택|98.2|100|01000|-0|-0
36110-1000026414|06199|기타종교집회장|38.59|100|04000|-0|-0
36110-1000026415|01001|단독주택|133.87|100|01000|-0|0.478699476101077
36110-1000026416|01001|단독주택|58.98|100|01000|-0|0.920316998419553
36110-1000026417|01001|단독주택|55.1|100|01000|-0|0.964928260448839
36110-1000026418|21101|축사|75.77|53.0862467596161|01000|0.997249941473585|0.997249941473585
36110-1000026420|01001|단독주택|71.8|100|01000|-0|-0
36110-1000026421|01001|단독주택|78.86|100|01000|-0|0.806928295328057
36110-1000026422|01001|단독주택|66.8|100|01000|-0|-0
36110-1000026423|01001|단독주택|45.1|100|01000|-0|-0
36110-1000026424|01001|단독주택|69|100|01000|-0|0.755375412561429
36110-1000026425|01001|단독주택|47.7|100|01000|-0|-0
36110-1000026426|01001|단독주택|61.93|100|01000|-0|0.86810094325331
36110-1000026427|01001|단독주택|36.11|100|01000|-0|-0
36110-1000026428|04005|제조업소|463.18|86.535263895376|04000|0.570047210379611|1.77499922445768
36110-1000026429|04402|사무소|127.71|64.59460826463|04000|0.937636530290959|1.53080612700887
36110-1000026430|01001|단독주택|181.89|100|01000|-0|-0
36110-1000026431|06103|사찰|330.99|100|06000|-0|-0
36110-1000026432|04005|제조업소|298|100|04000|-0|-0
36110-1000026433|01001|단독주택|99.12|100|01000|-0|-0
36110-1000026434|01001|단독주택|168.18|100|01000|-0|-0
36110-1000026435|01001|단독주택|96.12|100|01000|-0|-0
36110-1000026436|01001|단독주택|44.53|100|01000|-0|-0
36110-1000026437|01001|단독주택|51.48|100|01000|-0|-0
36110-1000026438|21101|축사|228.35|74.2480897415054|21000|0.822979540738215|1.51304023238097
36110-1000026441|21101|축사|264|100|21000|-0|-0
36110-1000026442|17100|일반공장|440|100|17000|-0|-0
36110-1000026443|17100|일반공장|101.12|100|17000|-0|-0
36110-1000026445|01001|단독주택|10.53|100|01000|-0|-0
36110-1000026446|01001|단독주택|84.84|100|01000|-0|0.710757415114317
36110-1000026447|01001|단독주택|50.76|100|01000|-0|-0
36110-1000026448|01001|단독주택|68.16|100|01000|-0|-0
36110-1000026449|01001|단독주택|96.8|100|01000|-0|-0
36110-1000026450|01001|단독주택|93.5|100|01000|-0|-0
36110-1000026451|01001|단독주택|99.56|100|01000|-0|-0
36110-1000026452|01001|단독주택|76.44|100|01000|-0|0.8481636883083
36110-1000026453|01001|단독주택|107.11|100|01000|-0|0.625581734809886
36110-1000026454|01001|단독주택|42.34|100|01000|-0|-0
36110-1000026455|01001|단독주택|41.82|100|01000|-0|-0
36110-1000026456|01001|단독주택|123.84|100|01000|-0|-0
36110-1000026457|01001|단독주택|18|100|01000|-0|-0
36110-1000026458|18001|창고|13.92|100|18000|-0|-0
36110-1000026459|01001|단독주택|86.53|100|01000|-0|-0
36110-1000026460|01001|단독주택|80|100|01000|-0|-0
36110-1000026461|01001|단독주택|83.21|75.9146063315391|01000|0.796457464710283|1.14311868686629
36110-1000026462|01001|단독주택|102.54|100|01000|-0|0.759119044813089
36110-1000026463|21101|축사|70|100|21000|-0|-0
36110-1000026464|01001|단독주택|78.84|100|01000|-0|-0
36110-1000026465|01001|단독주택|88.17|100|01000|-0|-0
36110-1000026466|04499|기타사무소|140|100|04000|-0|0.822404225954989
36110-1000026467|01001|단독주택|119.71|100|01000|-0|-0
36110-1000026470|01001|단독주택|99.45|100|01000|-0|-0
36110-1000026471|21101|축사|132.88|75.8793969849246|21000|0.797040119675798|0.797040119675798
36110-1000026472|01001|단독주택|97.44|100|01000|-0|-0
36110-1000026473|01001|단독주택|83.3|100|01000|-0|-0
36110-1000026474|01001|단독주택|91.63|100|01000|-0|-0
36110-1000026475|01001|단독주택|56.4|100|01000|-0|-0
36110-1000026476|01001|단독주택|79.48|100|01000|-0|-0
36110-1000026477|01001|단독주택|25.6|100|01000|-0|-0
36110-1000026478|01001|단독주택|84.51|100|01000|-0|-0
36110-1000026479|18999|기타창고시설|94.25|100|18000|-0|-0
36110-1000026480|01001|단독주택|115.53|100|01000|-0|-0
36110-1000026481|01001|단독주택|14.76|100|01000|-0|-0
36110-1000026482|01001|단독주택|164.13|100|01000|-0|-0
36110-1000026483|01001|단독주택|84.52|100|01000|-0|-0
36110-1000026484|01001|단독주택|93.99|100|01000|-0|0.999978761505545
36110-1000026485|01001|단독주택|78.2|100|01000|-0|0.923737778436227
36110-1000026486|01001|단독주택|109|78.5585585585586|01000|0.749836430721459|1.50534478303358
36110-1000026487|01001|단독주택|107.39|100|01000|-0|-0
36110-1000026488|01001|단독주택|97.74|100|01000|-0|-0
36110-1000026489|01001|단독주택|99.77|100|01000|-0|-0
36110-1000026490|01001|단독주택|101.82|100|01000|-0|-0
36110-1000026491|01001|단독주택|82|100|01000|-0|-0
36110-1000026492|01001|단독주택|89.49|100|01000|-0|-0
36110-1000026493|18001|창고|26.1|100|18000|-0|-0
36110-1000026494|01001|단독주택|87.27|100|01000|-0|-0
36110-1000026495|21101|축사|58.46|56.9230769230769|21000|0.986126084630238|0.986126084630238
36110-1000026496|01001|단독주택|99.95|100|01000|-0|-0
36110-1000026497|01001|단독주택|36|100|01000|-0|-0
36110-1000026498|03199|기타공공시설|39.65|100|03000|-0|-0
36110-1000026499|01001|단독주택|78.96|50|01000|1|1
36110-1000026500|01001|단독주택|72.72|100|01000|-0|-0
36110-1000026501|01001|단독주택|67.5|100|01000|-0|-0
36110-1000026502|01001|단독주택|89.72|100|01000|-0|0.962824098221154
36110-1000026503|04001|일반음식점|182.58|100|04000|-0|-0
36110-1000026506|01001|단독주택|84.86|100|01000|-0|-0
36110-1000026507|01001|단독주택|82.56|100|01000|-0|-0
36110-1000026508|18001|창고|126.72|48.1751824817518|18000|1.48079640577072|1.48079640577072
36110-1000026509|18001|창고|144.9|100|18000|-0|-0
36110-1000026510|03021|마을회관|135.54|100|03000|-0|-0
36110-1000026511|01001|단독주택|99.45|100|01000|-0|-0
36110-1000026512|01001|단독주택|99.81|100|01000|-0|-0
36110-1000026513|01001|단독주택|87.88|100|01000|-0|-0
36110-1000026514|01001|단독주택|99.01|100|01000|-0|-0
36110-1000026515|01001|단독주택|76.86|100|01000|-0|-0
36110-1000026516|01001|단독주택|63|100|01000|-0|-0
36110-1000026517|01001|단독주택|55.8|100|01000|-0|-0
36110-1000026518|01001|단독주택|84.36|100|01000|-0|-0
36110-1000026519|01001|단독주택|99|100|01000|-0|-0
36110-1000026520|01001|단독주택|87.8|100|01000|-0|-0
36110-1000026521|01001|단독주택|81.7|100|01000|-0|-0
36110-1000026522|21999|기타동식물관련시설|98.47|51.6306627516778|21000|0.999232621105977|0.999232621105977
36110-1000026523|21999|기타동식물관련시설|18.91|100|21000|-0|-0
36110-1000026524|01001|단독주택|145.4|100|01000|-0|-0
36110-1000026525|01001|단독주택|167.67|100|01000|-0|-0
36110-1000026526|01001|단독주택|186.66|100|01000|-0|-0
36110-1000026527|01001|단독주택|194.4|100|01000|-0|-0
36110-1000026529|01001|단독주택|181.44|100|01000|-0|-0
36110-1000026530|01001|단독주택|77.12|100|01000|-0|-0
36110-1000026532|01001|단독주택|100|100|01000|-0|-0
36110-1000026533|01001|단독주택|179.34|100|01000|-0|-0
36110-1000026535|01001|단독주택|99.9|100|01000|-0|-0
36110-1000026536|01001|단독주택|95.04|100|01000|-0|-0
36110-1000026537|01001|단독주택|99.9|100|01000|-0|-0
36110-1000026539|01001|단독주택|99.9|100|01000|-0|-0
36110-1000026540|01001|단독주택|99.9|100|01000|-0|-0
36110-1000026541|01001|단독주택|99.9|100|01000|-0|-0
36110-1000026542|01001|단독주택|99.9|100|01000|-0|-0
36110-1000026543|01001|단독주택|99.9|100|01000|-0|-0
36110-1000026546|01001|단독주택|90.76|100|01000|-0|0.355007183620025
36110-1000026547|01001|단독주택|55.14|68.9853621919179|01000|0.893342354464838|0.893342354464838
36110-1000026548|03001|소매점|52.43|100|03000|-0|-0
36110-1000026549|04020|노래연습장|120.12|82.7500688895013|04000|0.663390333452346|0.663390333452346
36110-1000026550|04035|고시원|968.59|67.2902974809298|03000|0.911932882267031|1.11004535397504
36110-1000026551|03999|기타제1종근린생활시설|250.4|100|03000|-0|-0
36110-1000026552|03999|기타제1종근린생활시설|97.5|100|03000|-0|-0
36110-1000026553|01001|단독주택|198.7|100|01000|-0|-0
36110-1000026554|01003|다가구주택|188.37|100|01000|-0|-0
36110-1000026555|01001|단독주택|112.15|52.9259084473808|01000|0.997528423062973|1.2455241326414
36110-1000026557|01003|다가구주택|190.53|100|01000|-0|-0
36110-1000026558|01001|단독주택|196.11|100|01000|-0|-0
36110-1000026559|17100|일반공장|439.23|100|17000|-0|-0
36110-1000026560|17100|일반공장|2.88|100|17000|-0|-0
36110-1000026561|01001|단독주택|112.63|100|01000|-0|-0
36110-1000026562|04001|일반음식점|145|100|04000|-0|-0
36110-1000026563|01001|단독주택|61.38|100|01000|-0|-0
36110-1000026564|01001|단독주택|37.68|100|01000|-0|-0
36110-1000026565|01001|단독주택|155.25|100|01000|-0|-0
36110-1000026566|04001|일반음식점|208.57|75.0062933793649|04000|0.81117836151791|0.81117836151791
36110-1000026567|01001|단독주택|189.73|100|01000|-0|-0
36110-1000026568|01001|단독주택|195.14|100|01000|-0|-0
36110-1000026569|01001|단독주택|337.38|100|01000|-0|-0
36110-1000026570|05999|기타문화및집회시설|92|100|05000|-0|-0
36110-1000026571|05999|기타문화및집회시설|783.36|100|05000|-0|-0
36110-1000026572|05999|기타문화및집회시설|54.18|100|05000|-0|-0
36110-1000026573|05999|기타문화및집회시설|79.83|100|05000|-0|-0
36110-1000026574|05999|기타문화및집회시설|52.24|100|05000|-0|-0
36110-1000026575|05999|기타문화및집회시설|695.64|100|05000|-0|-0
36110-1000026576|05999|기타문화및집회시설|36.24|100|05000|-0|-0
36110-1000026577|05999|기타문화및집회시설|1262.55|100|05000|-0|-0
36110-1000026578|05499|기타전시장|1630.44|61.6777883698761|05000|0.960285949762128|0.960285949762128
36110-1000026579|05999|기타문화및집회시설|186.23|100|05000|-0|-0
36110-1000026580|05999|기타문화및집회시설|76.8|100|05000|-0|-0
36110-1000026581|05999|기타문화및집회시설|285.35|100|05000|-0|0.861407201999973
36110-1000026582|05999|기타문화및집회시설|40.32|100|05000|-0|-0
36110-1000026583|05999|기타문화및집회시설|13.5|100|05000|-0|-0
36110-1000026584|05999|기타문화및집회시설|36.24|100|05000|-0|-0
36110-1000026585|05999|기타문화및집회시설|98.01|100|05000|-0|-0
36110-1000026586|05999|기타문화및집회시설|1541.89|100|05000|-0|-0
36110-1000026587|05999|기타문화및집회시설|81|100|05000|-0|0.91829583405449
36110-1000026588|05999|기타문화및집회시설|506.52|100|05000|-0|-0
36110-1000026589|05999|기타문화및집회시설|32.04|100|05000|-0|-0
36110-1000026590|05999|기타문화및집회시설|32.4|100|05000|-0|-0
36110-1000026591|05999|기타문화및집회시설|42.51|100|05000|-0|-0
36110-1000026592|05999|기타문화및집회시설|658.26|100|05000|-0|1.3994277678432
36110-1000026593|05999|기타문화및집회시설|97.72|100|05000|-0|1
36110-1000026594|05999|기타문화및집회시설|39.12|100|05000|-0|-0
36110-1000026595|05999|기타문화및집회시설|39.6|100|05000|-0|-0
36110-1000026596|05999|기타문화및집회시설|99.25|100|05000|-0|-0
36110-1000026597|22999|기타분뇨쓰레기처리시설|40|100|22000|-0|-0
36110-1000026599|01001|단독주택|88.7|100|01000|-0|0.999514933084858
36110-1000026601|18001|창고|170.73|52.8428611222879|18000|0.997666810265431|0.997666810265431
36110-1000026603|01001|단독주택|99|100|01000|-0|-0
36110-1000026604|04001|일반음식점|94.45|100|04000|-0|-0
36110-1000026605|01001|단독주택|79|100|01000|-0|-0
36110-1000026606|01001|단독주택|92.34|100|01000|-0|-0
36110-1000026607|04001|일반음식점|96.93|100|04000|-0|-0
36110-1000026608|01001|단독주택|76|100|01000|-0|-0
36110-1000026609|01001|단독주택|51.84|100|01000|-0|-0
36110-1000026610|01001|단독주택|90|100|01000|-0|-0
36110-1000026611|01001|단독주택|55.42|100|01000|-0|-0
36110-1000026612|01001|단독주택|81.68|100|01000|-0|-0
36110-1000026613|01001|단독주택|82.64|100|01000|-0|-0
